Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Promotional Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity
2020-06-11	Start Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-06-11		iPhone	TN	US		 	 	 	 	1
2020-06-11	Cancel	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			8	2019-09-27		iPhone	TX	US		 	 	Canceled	 	1
2020-06-11	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			3	2020-03-28		iPhone	CA	US		 	 	 	 	1
2020-06-11	Cancel	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-05-28		iPhone	NY	US		 	 	Canceled	 	1
2020-06-11	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			4	2020-03-11		iPhone	VA	US		 	 	 	 	1
