Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Promotional Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity
2020-06-22	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Pay as you go	3 Months		 		Rate After One Year	16	2018-12-22		iPhone	MI	US		 	 	 	 	1
2020-06-22	Start Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-06-22		iPhone	CA	US		 	 	 	 	1
2020-06-22	Paid Subscription from Introductory Offer	Text Me That	1329223000	Ultimate Yearly	1436496337	20430061	1 Year	 	 				 			1	2020-06-08		iPhone	IA	US		 	 	 	 	1
2020-06-22	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 		Rate After One Year	16	2019-03-22		iPhone	NJ	US		 	 	 	 	1
2020-06-22	Renew	Text Me That	1329223000	Quarterly Subscription	1462460316	20430061	3 Months	 	 				 			2	2020-03-08		iPhone	CA	US		 	 	 	 	1
