Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Promotional Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity
2020-05-31	Cancel	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-05-17		iPhone	NJ	US		 	9	Canceled	 	1
2020-05-31	Start Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-05-31		iPad	MA	US		 	 	 	 	1
2020-05-31	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			11	2019-07-07		iPhone	CA	US		 	 	 	 	1
2020-05-31	Renewal from Billing Retry	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			9	2019-08-18		iPhone	FL	US		 	 	 	 	1
