Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Promotional Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity
2020-06-18	Start Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-06-18		iPhone	LA	US		 	 	 	 	1
2020-06-18	Renew	Text Me That	1329223000	Quarterly Subscription	1462460316	20430061	3 Months	 	 				 			3	2019-12-18		iPhone	CA	US		 	 	 	 	1
2020-06-18	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			2	2020-04-16		iPhone	CA	US		 	 	 	 	1
2020-06-18	Reactivate with Crossgrade	Text Me That	1329223000	Quarterly Subscription	1462460316	20430061	3 Months	 	 				 			1	2020-06-18		iPhone	AZ	US	Ultimate Monthly	1436495589	 	 	192	1
2020-06-18	Cancel	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			3	2020-03-04		iPhone	MA	US		 	97	Canceled	 	1
