Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Promotional Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity
2020-07-02	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 		Rate After One Year	13	2019-06-17		iPhone	AK	US		 	 	 	 	1
2020-07-02	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Pay as you go	3 Months		 		Rate After One Year	16	2018-12-29		iPhone	CO	US		 	 	 	 	1
2020-07-02	Start Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-07-02		iPhone	AL	US		 	 	 	 	1
2020-07-02	Start Introductory Offer	Text Me That	1329223000	Half Year Subscription	1462460113	20430061	6 Months	 	 	Free Trial	2 Weeks		 			0	2020-07-02		iPhone	TX	US		 	 	 	 	1
2020-07-02	Paid Subscription from Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			1	2020-06-18		iPhone	LA	US		 	 	 	 	1
2020-07-02	Billing Retry from Paid Subscription	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 		Rate After One Year	14	2019-04-25		iPhone	GA	US		 	 	 	 	1
2020-07-02	Cancel	Text Me That	1329223000	Quarterly Subscription	1462460316	20430061	3 Months	 	 				 			3	2019-09-18		iPhone	NV	US		 	255	Canceled	 	1
2020-07-02	Start Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Free Trial	2 Weeks		 			0	2020-07-02		iPhone	WV	US		 	 	 	 	1
2020-07-02	Renewal from Billing Retry	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 		Rate After One Year	15	2019-04-25		iPhone	GA	US		 	 	 	 	1
