Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Promotional Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity
2020-06-29	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			6	2020-01-16		iPhone	MD	US		 	 	 	 	1
2020-06-29	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 		Rate After One Year	21	2018-10-29		iPhone	CA	US		 	 	 	 	1
2020-06-29	Paid Subscription from Introductory Offer	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			1	2020-06-15		iPhone	TX	US		 	 	 	 	1
2020-06-29	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			12	2019-07-17		iPhone	CA	US		 	 	 	 	1
2020-06-29	Start Introductory Offer	Text Me That	1329223000	Half Year Subscription	1462460113	20430061	6 Months	 	 	Free Trial	2 Weeks		 			0	2020-06-29		iPhone	AZ	US		 	 	 	 	1
2020-06-29	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 	Pay as you go	3 Months		 		Rate After One Year	16	2018-12-29		iPhone	CA	US		 	 	 	 	1
2020-06-29	Cancel	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 			5	2020-01-16		iPhone	NV	US		 	160	Canceled	 	1
2020-06-29	Renew	Text Me That	1329223000	Ultimate Monthly	1436495589	20430061	1 Month	 	 				 		Rate After One Year	13	2019-06-16		iPhone	CA	US		 	 	 	 	1
